Height,Air Temperature [K],w,U_m_s,V_m_s
25550,225.45,0.2091703632,15,0
25600,225.45,0.2107671746,15,0
25650,225.45,0.2123761645,15,0
25700,225.45,0.2139974256,15,0
25750,225.45,0.2156310513,15,0
25800,225.45,0.2172771357,15,0
25850,225.45,0.2189357737,15,0
25900,225.45,0.2206070608,15,0
25950,225.45,0.2222910933,15,0
26000,225.45,0.2239879681,15,0
26050,225.45,0.2256977831,15,0
26100,225.45,0.2274206366,15,0
26150,225.45,0.229156628,15,0
26200,225.45,0.2309058572,15,0
26250,225.45,0.2326684249,15,0
26300,225.45,0.2344444326,15,0
26350,225.45,0.2362339827,15,0
26400,225.45,0.2380371781,15,0
26450,225.45,0.2398541226,15,0
26500,225.45,0.2416849209,15,0
26550,225.45,0.2435296784,15,0
26600,225.45,0.2453885013,15,0
26650,225.45,0.2472614966,15,0
26700,225.45,0.249148772,15,0
26750,225.45,0.2510504363,15,0
26800,225.45,0.2529665989,15,0
26850,225.45,0.2548973701,15,0
26900,225.45,0.2568428609,15,0
26950,225.45,0.2588031834,15,0
27000,225.45,0.2607784503,15,0
27050,225.45,0.2627687754,15,0
27100,225.45,0.264774273,15,0
27150,225.45,0.2667950588,15,0
27200,225.45,0.2688312488,15,0
27250,225.45,0.2708829602,15,0
27300,225.45,0.2729503111,15,0
27350,225.45,0.2750334203,15,0
27400,225.45,0.2771324078,15,0
27450,225.45,0.2792473942,15,0
27500,225.45,0.2813785012,15,0
27550,225.45,0.2835258513,15,0
27600,225.45,0.285689568,15,0
27650,225.45,0.2878697757,15,0
27700,225.45,0.2900665999,15,0
27750,225.45,0.2922801668,15,0
27800,225.45,0.2945106036,15,0
27850,225.45,0.2967580387,15,0
27900,225.45,0.2990226012,15,0
27950,225.45,0.3013044212,15,0
28000,225.45,0.30360363,15,0
28050,225.45,0.3059203597,15,0
28100,225.45,0.3082547435,15,0
28150,225.45,0.3106069154,15,0
28200,225.45,0.3129770107,15,0
28250,225.45,0.3153651656,15,0
28300,225.45,0.3177715172,15,0
28350,225.45,0.3201962039,15,0
28400,225.45,0.3226393649,15,0
28450,225.45,0.3251011406,15,0
28500,225.45,0.3275816724,15,0
28550,225.45,0.3300811028,15,0
28600,225.45,0.3325995753,15,0
28650,225.45,0.3351372346,15,0
28700,225.45,0.3376942264,15,0
28750,225.45,0.3402706976,15,0
28800,225.45,0.342866796,15,0
28850,225.45,0.3454826708,15,0
28900,225.45,0.3481184721,15,0
28950,225.45,0.3507743512,15,0
29000,225.45,0.3534504607,15,0
29050,225.45,0.356146954,15,0
29100,225.45,0.358863986,15,0
29150,225.45,0.3616017127,15,0
29200,225.45,0.364360291,15,0
29250,225.45,0.3671398794,15,0
29300,225.45,0.3699406373,15,0
29350,225.45,0.3727627254,15,0
29400,225.45,0.3756063056,15,0
29450,225.45,0.378471541,15,0
29500,225.45,0.381358596,15,0
29550,225.45,0.3842676362,15,0
29600,225.45,0.3871988285,15,0
29650,225.45,0.3901523408,15,0
29700,225.45,0.3931283426,15,0
29750,225.45,0.3961270045,15,0
29800,225.45,0.3991484985,15,0
29850,225.45,0.4021929978,15,0
29900,225.45,0.4052606768,15,0
29950,225.45,0.4083517115,15,0
30000,225.45,0.4114662791,15,0
